net,length_um
clknet_0_clk,628.72µm
net396,508.24µm
net423,481.48µm
net405,395.68µm
net427,375.695µm
net459,370.46µm
clknet_3_6__leaf_clk,365.62µm
clknet_3_5__leaf_clk,357.76µm
net408,338.62µm
net432,336.23µm
net389,335.87µm
clknet_3_4__leaf_clk,330.54µm
net468,325.75µm
net9,314.32µm
clknet_3_1__leaf_clk,297.02µm
net370,293.57µm
clk,288.69µm
clknet_3_7__leaf_clk,283.3µm
clknet_3_0__leaf_clk,279.98µm
_4225_,274.52µm
net369,272.26µm
net507,268.04µm
clknet_3_2__leaf_clk,263.77µm
net395,255.66µm
net1,253.76µm
net229,252.82µm
net4,251.485µm
net422,246.66µm
net10,244.38µm
net413,244.25µm
net424,244.25µm
clknet_3_3__leaf_clk,241.36µm
net397,235.14µm
_4238_,234.84µm
_3215_,233.2µm
net319,231.63µm
net401,229.815µm
_3209_,223.96µm
net16,223.02µm
net14,221.14µm
net170,217.6µm
net20,216.91µm
net414,215.54µm
net406,214.475µm
net15,214.05µm
net499,213.63µm
net311,212.875µm
net255,210.36µm
net253,208.2µm
net362,208.2µm
net421,208.08µm
net425,207.46µm
net407,207.355µm
net223,206.09µm
net467,205.28µm
net192,204.22µm
net325,203.36µm
net13,203.27µm
net5,202.52µm
net245,202.4µm
net219,202.38µm
net415,201.09µm
net187,200.9µm
net411,199.415µm
net238,199.17µm
_2700_,198.68µm
net19,198.68µm
net240,198.28µm
net431,197.94µm
net185,196.88µm
net237,193.13µm
net486,191.3µm
net6,191.17µm
net167,190.91µm
net182,190.84µm
net482,190.76µm
net17,190.34µm
net301,189.9µm
net231,188.76µm
net416,188.28µm
net457,187.37µm
net403,186.52µm
_4232_,183.05µm
net340,182.61µm
net241,182.4µm
net157,181.06µm
net383,176.64µm
net18,176.08µm
net399,176.005µm
net435,174.41µm
net418,173.8µm
net172,172.98µm
net344,172.79µm
net11,172.78µm
_3551_,171.7µm
net353,170.205µm
net243,170.08µm
net375,169.42µm
net452,167.36µm
net249,165.2µm
net228,163.98µm
net12,163.42µm
net310,163.115µm
net176,162.82µm
net438,162.06µm
net430,161.77µm
net495,161.63µm
net193,161.48µm
net357,161.11µm
net177,160.1µm
net472,159.65µm
net480,159.16µm
net159,158.92µm
net235,158.81µm
net351,157.94µm
net478,157.74µm
net265,157.44µm
net471,157.38µm
net348,157.335µm
net470,157.03µm
pe_array\[1\].u_pe.weight_in\[0\],156.76µm
net217,156µm
clknet_leaf_22_clk,156µm
net458,155.92µm
net402,155.01µm
net477,154.99µm
net497,154.98µm
net197,154.5µm
net493,154.26µm
net318,153.77µm
net155,153.64µm
net510,153.535µm
net21,152.61µm
net216,151.86µm
net324,151µm
net469,150.925µm
net515,150.86µm
net156,150.52µm
net346,149.92µm
net398,149.38µm
net330,149.34µm
net460,149.135µm
net336,148.905µm
net436,147.75µm
net627,147.65µm
net419,147.64µm
net269,147.52µm
net444,147.1µm
net303,146.8µm
net372,144.915µm
pe_array\[2\].u_pe.weight_in\[2\],144.59µm
net203,143.62µm
net473,143.56µm
net3,143µm
pe_array\[3\].u_pe.weight_in\[7\],142.89µm
net420,141.68µm
net308,139.37µm
net321,138.71µm
net391,138.26µm
net491,138.14µm
net464,138.02µm
net463,137.4µm
net258,137.32µm
net254,136.34µm
net169,136.1µm
_2203_,135.56µm
net356,135.285µm
net511,135µm
net465,134.855µm
net212,134.12µm
net281,133.96µm
net312,133.03µm
net218,132.96µm
net417,132.88µm
clknet_leaf_4_clk,131.7µm
net494,131.59µm
net412,130.885µm
net208,130.42µm
net186,130.32µm
_1716_,130.06µm
_1594_,129.96µm
net485,129.84µm
net410,129.79µm
net462,129.03µm
net390,128.54µm
net317,128.08µm
net394,127.85µm
net428,127.6µm
net593,127.53µm
net306,127.5µm
net316,126.44µm
clknet_leaf_45_clk,126.32µm
net509,126.07µm
net295,125.36µm
_0482_,125.08µm
net679,125.02µm
net342,124.92µm
pe_array\[2\].u_pe.weight_in\[0\],124.61µm
net199,124.16µm
net352,124.035µm
net297,123.6µm
net226,123.575µm
net201,123.27µm
net506,122.88µm
net350,122.26µm
net188,122µm
net442,121.56µm
net474,121.5µm
net242,121.4µm
net257,121.4µm
clknet_leaf_41_clk,121.2µm
_1751_,121.025µm
_3700_,120.7µm
net489,119.97µm
net404,119.95µm
clknet_leaf_21_clk,119.3µm
net332,119.28µm
net446,119.22µm
net503,118.62µm
net409,118.405µm
net302,117.965µm
net392,117.64µm
_0686_,117.26µm
net244,116.82µm
net334,116.625µm
