Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_117_697,VGND,li1,326.8300,331.8400,0.000100
FILLER_117_685,VGND,li1,323.3800,331.8400,0.000100
FILLER_117_673,VGND,li1,317.8600,331.8400,0.000100
FILLER_117_669,VGND,li1,313.9500,331.8400,0.000100
FILLER_117_657,VGND,li1,310.5000,331.8400,0.000100
FILLER_117_645,VGND,li1,304.9800,331.8400,0.000100
FILLER_117_641,VGND,li1,301.0700,331.8400,0.000100
FILLER_117_629,VGND,li1,297.6200,331.8400,0.000100
FILLER_117_617,VGND,li1,292.1000,331.8400,0.000100
FILLER_117_613,VGND,li1,288.1900,331.8400,0.000100
FILLER_117_601,VGND,li1,284.7400,331.8400,0.000100
FILLER_117_589,VGND,li1,279.2200,331.8400,0.000100
FILLER_117_585,VGND,li1,275.3100,331.8400,0.000100
FILLER_117_573,VGND,li1,271.8600,331.8400,0.000100
FILLER_117_561,VGND,li1,266.3400,331.8400,0.000100
FILLER_117_554,VGND,li1,261.7400,331.8400,0.000100
FILLER_117_533,VGND,li1,250.9300,331.8400,0.000098
FILLER_117_520,VGND,li1,245.4100,331.8400,0.000093
FILLER_117_505,VGND,li1,239.2000,331.8400,0.000090
FILLER_117_502,VGND,li1,236.9000,331.8400,0.000089
FILLER_117_490,VGND,li1,233.6800,331.8400,0.000087
FILLER_117_483,VGND,li1,228.3900,331.8400,0.000082
FILLER_117_477,VGND,li1,225.4000,331.8400,0.000081
FILLER_117_469,VGND,li1,221.9500,331.8400,0.000079
FILLER_117_462,VGND,li1,218.7300,331.8400,0.000077
FILLER_117_455,VGND,li1,215.5100,331.8400,0.000075
FILLER_117_449,VGND,li1,212.5200,331.8400,0.000073
FILLER_117_441,VGND,li1,209.0700,331.8400,0.000069
FILLER_117_434,VGND,li1,205.8500,331.8400,0.000067
FILLER_117_429,VGND,li1,203.0900,331.8400,0.000066
FILLER_117_399,VGND,li1,189.2900,331.8400,0.000052
FILLER_117_393,VGND,li1,186.7600,331.8400,0.000050
FILLER_117_385,VGND,li1,183.3100,331.8400,0.000046
FILLER_117_378,VGND,li1,180.0900,331.8400,0.000042
FILLER_117_373,VGND,li1,177.3300,331.8400,0.000039
FILLER_117_365,VGND,li1,175.2600,331.8400,0.000044
FILLER_117_352,VGND,li1,169.2800,331.8400,0.000060
FILLER_117_329,VGND,li1,157.5500,331.8400,0.000075
FILLER_117_321,VGND,li1,154.1000,331.8400,0.000075
FILLER_117_309,VGND,li1,150.4200,331.8400,0.000075
FILLER_117_307,VGND,li1,146.9700,331.8400,0.000075
FILLER_117_301,VGND,li1,145.3600,331.8400,0.000075
FILLER_117_294,VGND,li1,141.4500,331.8400,0.000074
FILLER_117_287,VGND,li1,138.2300,331.8400,0.000074
FILLER_117_281,VGND,li1,135.2400,331.8400,0.000074
